No.,District,PODs,Site_Name,N,S,W,E,Rainfall,latitude,longitude,lat_scaled,lon_scaled,Rainfall_Scaled,Cluster
45,Lapai,Katcha,Gbakogi,8.967,8.787,6.097,6.277,32784.0,8.877,6.097,-1.2317961325669062,0.11057310453989713,-1.0913338359173097,0
46,Lapai,Dangana,Gulu,8.761,8.581,6.507,6.687,34915.0,8.671,6.507,-1.9392242467770051,0.7035712176215186,-0.2677912227942457,5
47,Lapai,Tafa,Ijagwari,9.518,9.338,6.145,6.325,33691.0,9.428,6.145,0.6604023670921333,0.179997273876281,-0.7408161681075401,6
48,Lapai,Gurara,Izom,9.333,9.153,6.916,7.096,39725.0,9.243,6.916,0.02509071112675546,1.2951229938419675,1.5910731456346316,1
49,Lapai,Tafa,Kabo,9.118,8.938,6.04,6.22,33979.0,9.028,6.04,-0.7132444566167893,0.028131903452939304,-0.6295161809750003,0
50,Lapai,Gurara,Kudna,9.326,9.146,6.813,6.993,38809.0,9.236,6.813,0.0010518917118504595,1.1461502971409736,1.2370773532269703,1
51,Lapai,Agaie,Kutiriko,9.278,9.098,6.385,6.565,34024.0,9.188,6.385,-0.16378572713322023,0.5271181205582067,-0.6121255579855409,0
52,Lapai,Tafa,Kwaka,9.363,9.183,7.045,7.225,41401.0,9.273,7.045,0.12811422290492236,1.4817004489335017,2.238777237419829,1
53,Lapai,Gurara,Lambata,9.368,9.188,6.889,7.069,39626.0,9.278,6.889,0.14528480820128656,1.2560718985902506,1.5528137750578213,1
54,Lapai,Gurara,Lefu,9.386,9.206,6.691,6.871,37978.0,9.296,6.691,0.20709891526818425,0.9696972000776616,0.9159305153549542,1
55,Lapai,Agaie,Magaji,9.059,8.879,6.323,6.503,33893.0,8.969,6.323,-0.9158573631138587,0.43744523516537687,-0.6627515937993004,0
56,Lapai,Dangana,Sonfada,9.092,8.912,6.545,6.725,35626.0,9.002,6.545,-0.8025315001578684,0.7585320183461571,0.006980620439212058,5
57,Lapai,Agaie,Tagagi,8.942,8.762,6.39,6.57,33758.0,8.852,6.39,-1.317649059048715,0.53434980486408,-0.7149234627676784,5
58,Lapai,Agaie,Takuti Shaba,9.269,9.089,6.448,6.628,34461.0,9.179,6.448,-0.19469278066667214,0.618237342812213,-0.44324328584345785,0
59,Lapai,Gurara,Takuti Shaku,9.436,9.256,6.707,6.887,38789.0,9.346,6.707,0.37880476823180187,0.9928385898564567,1.2293481874538772,1
